country,is lockdown,num_days,Literacy(%),population,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_100k,latitude,longitude,death_by_lack_of_hygiene,stringency index,cvd_death_rate,diabetes_prevalence,life_expectancy,democracy_score,Electoral processand pluralism,functioning of government,Political participation,Political culture,Civilliberties,Obesity rate
Kenya,0,100,85.1,53771300,87.324,20,2.686,2993.028,1.4,-0.023559,37.906193,253.049,92.2072093,218.637,2.92,66.7,5.18,3.5,5.71,6.67,5.63,4.41,7.1
Niger,0,100,17.6,24206636,16.955,15.1,2.553,926,0.3,17.607789,8.081666,151.206,61.11,238.339,2.42,62.42,3.29,2.92,1.14,3.33,4.38,4.71,5.5
Mali,0,100,46.4,20250834,15.196,16.4,2.519,2014.306,0.1,17.570692,-3.996166,150.661,61.26282353,268.024,2.42,59.31,4.92,6.42,3.07,3.89,5.63,5.59,8.6
Somalia,0,100,37.8,15893219,23.5,16.8,2.731,4721,0.9,5.152149,46.199616,150.633,54.89540541,365.769,6.05,57.4,2.84,0,3.57,3.33,4.38,2.94,8.3
Liberia,1,20,57.5,5057677,49.127,19.2,3.057,752.788,0.8,6.428055,-9.429499,139.915,85.21911392,272.509,2.42,64.1,5.45,7.42,3.07,5.56,5.63,5.59,9.9
Burkina Faso,0,100,26.6,20903278,70.151,17.6,2.409,1703.102,0.4,12.238333,-1.561593,127.837,84.26,269.048,2.42,61.58,4.04,3.92,2.71,4.44,5,4.12,5.6
Tanzania,0,100,78.2,59734213,64.699,17.7,3.108,2683.304,0.7,-6.369028,34.888822,114.518,40.97041096,217.288,5.75,65.46,5.16,5.75,5,5,5.63,4.41,8.4
Democratic Republic of Congo,1,2,65.5,89561404,35.879,17,3.02,808.133,0.8,-4.038333,21.758664,112.543,80.56,318.949,6.1,60.68,1.13,0,0,1.67,3.13,0.88,6.7
India,1,2,59.5,1380004385,450.419,28.2,5.989,6426.674,0.53,20.593684,78.96288,104.202,96.3,282.28,10.39,69.66,6.9,8.67,6.79,6.67,5.63,6.76,3.9
Nigeria,1,7,68,206139587,209.588,18.1,2.751,5338.454,0.5,9.081999,8.675277,101.907,80.83693182,181.013,2.42,54.69,4.12,5.17,3.93,3.33,3.75,4.41,8.9
Guinea,0,100,35.9,13132792,51.755,19,3.135,1998.926,0.3,9.945587,-9.696645,97.505,73.09465753,336.717,2.42,61.6,3.14,3.5,0.43,4.44,4.38,2.94,7.7
Togo,0,100,60.9,8278737,143.366,19.4,2.839,1429.813,0.7,8.619543,0.824782,96.364,63.78853333,280.033,6.15,61.04,3.3,3.17,1.79,3.33,5,3.24,8.4
Cameroon,0,100,79,26545864,50.885,18.8,3.165,3364.926,1.3,7.369722,12.354722,88.079,63.89,244.661,7.2,59.29,2.85,1.67,2.5,3.33,4.38,2.35,11.4
Senegal,0,100,40.2,16743930,82.328,18.7,3.008,2470.58,0.3,14.497401,-14.452362,82.432,70.65045455,241.219,2.42,67.94,5.81,6.08,6.07,4.44,6.25,6.18,8.8
Ghana,1,10,74.8,31072945,126.719,21.1,3.385,4227.63,0.9,7.946527,-1.023194,45.45,62.04,298.245,4.97,64.07,6.63,8.33,5.71,6.67,6.25,6.18,10.9
Pakistan,1,0,45.7,220892331,255.573,23.5,4.495,5034.708,0.6,30.375321,69.345116,43.146,92.59,423.031,8.35,67.27,4.25,6.08,5.71,2.22,2.5,4.71,8.6
Republic of the Congo,1,18,83.8,5518092,15.405,19,3.402,4881.406,1.6,-0.228021,15.827659,38.7,97.22,344.094,7.2,64.57,3.11,2.17,2.5,3.89,3.75,3.24,9.6
Bangladesh,1,7,43.1,164689383,1265.036,27.5,5.098,3523.984,0.8,23.684994,90.356331,35.956,89.81,298.003,8.38,72.59,5.88,7.83,6.07,6.11,4.38,5,3.6
South Africa,1,9,86.4,59308690,46.754,27.3,5.344,12294.876,2.32,-30.559482,22.937506,34.855,87.96,200.38,5.52,64.13,7.24,7.42,7.5,8.33,5,7.94,28.3
Indonesia,0,100,87.9,273523621,145.725,29.3,5.319,11188.744,1.04,-0.789275,113.921327,30.168,68.06,342.864,6.32,71.72,6.48,7.92,7.14,6.11,5.63,5.59,6.9
Sudan,0,100,61.1,43849269,23.258,19.7,3.548,4466.507,0.8,12.862807,30.217636,26.713,86.84012658,431.388,15.67,65.31,2.7,0,1.79,5.56,5,1.18,6.6
Myanmar,0,100,75.55,54409794,81.721,29.1,5.732,5591.597,0.9,21.913965,95.956223,24.065,82.19092105,202.104,4.61,67.13,3.55,3.08,3.93,2.78,5.63,2.35,5.8
Guatemala,0,100,70.6,17915567,157.834,22.9,4.694,7423.808,0.6,15.783471,-90.230759,21.556,96.1304878,155.898,10.18,74.3,5.26,6.92,4.64,3.89,4.38,6.47,21.2
Afghanistan,0,100,36,38928341,54.422,18.6,2.581,1803.987,0.5,33.93911,67.709953,20.892,78.7,597.029,9.59,64.83,2.85,3.42,0.64,3.89,2.5,3.82,5.5
Honduras,1,11,76.2,9904608,82.805,24.9,4.652,4541.795,0.7,15.199999,-86.241905,15.123,100,240.208,7.21,75.27,5.42,7.83,4.29,4.44,4.38,6.18,21.4
Philippines,1,5,92.6,109581085,351.873,25.2,4.803,7599.188,1,12.879721,121.774017,13.809,97.22,370.437,7.07,71.23,6.64,9.17,5.36,7.22,4.38,7.06,6.4
Guyana,0,100,98.8,786559,3.952,26.3,5.305,7435.047,1.6,4.860416,-58.93018,13.779,85.59365854,373.159,11.62,69.91,6.15,6.92,5.36,6.11,5,7.35,20.2
Egypt,0,100,57.7,102334403,97.999,25.3,5.159,10550.206,1.6,26.820553,30.802498,8.64,84.26,525.432,17.31,71.99,3.06,2.67,3.21,3.33,3.75,2.35,32
Bolivia,1,9,87.2,11673029,10.202,25.4,6.704,6885.829,1.1,-16.290154,-63.588653,8.547,96.3,204.299,6.89,71.51,4.84,4.75,3.93,5,3.75,6.76,20.2
Dominican Republic,0,100,84.7,10847904,222.873,27.6,6.981,14600.861,1.6,18.735693,-70.162651,7.135,91.665,266.653,8.2,74.08,6.54,9.17,5.36,6.11,5,7.06,27.8
Thailand,1,4,92.6,69799978,135.132,40.1,11.373,16277.671,2.1,15.870032,100.992541,6.967,80.56,109.861,7.04,77.15,6.32,7.42,5.36,6.11,6.25,6.47,10
Iraq,1,13,40.4,40222503,88.125,20,3.186,15663.986,1.4,33.223191,43.679291,6.671,85.19,218.612,8.83,70.6,3.74,5.25,0,6.67,5,1.76,30.4
El Salvador,1,28,80.2,6486201,307.811,27.6,8.273,7292.458,1.3,13.794185,-88.89653,6.298,95.07658537,167.295,8.87,73.32,6.15,9.17,4.64,6.11,3.75,7.06,24.6
Morocco,1,7,51.7,36910558,80.08,29.6,6.769,7485.013,1.1,31.791702,-7.09262,5.829,93.52,419.146,7.14,76.68,5.1,5.25,4.64,5.56,5.63,4.41,26.1
Peru,1,9,90.9,32971846,25.129,29.1,7.151,12236.706,1.6,-9.189967,-75.015152,5.806,94.44,85.755,5.95,76.74,6.6,9.17,5,5.56,5.63,7.65,19.7
Brazil,1,4,86.4,212559409,25.04,33.5,8.552,14103.452,2.2,-14.235004,-51.92528,4.504,74.54,177.961,8.11,75.88,6.86,9.58,5.36,6.11,5,8.24,22.1
Paraguay,1,17,94,7132530,17.144,26.5,6.378,8827.01,1.3,-23.442503,-58.443832,4.246,89.3375,199.128,8.27,74.25,6.24,8.75,5.71,5,4.38,7.35,20.3
Panama,1,1,92.6,4314768,55.133,29.7,7.918,22267.037,2.3,8.537981,-80.782127,4.173,79.63,128.346,8.33,78.51,7.05,9.58,6.07,6.67,5,7.94,22.7
Jamaica,1,0,87.9,2961161,266.879,31.4,9.684,8193.571,1.7,18.109581,-77.297508,3.884,80.90915493,206.537,11.28,74.47,6.96,8.75,7.14,4.44,6.25,8.24,24.7
Venezuela,1,22,93.4,28435943,36.253,29,6.614,16745.022,0.8,6.42375,-66.58973,3.448,82.41,204.85,6.47,72.06,2.88,0,1.79,5,4.38,3.24,25.6
Saudi Arabia,0,100,78.8,34813867,15.322,31.9,3.295,49045.411,2.7,23.885942,45.079162,3.427,91.67,259.538,17.72,75.13,1.93,0,2.86,2.22,3.13,1.47,35.4
Ecuador,1,5,92.5,17643060,66.939,28.1,7.104,10581.936,1.5,-1.831239,-78.183406,3.187,93.52,140.448,5.55,77.01,6.33,8.75,5.36,6.11,4.38,7.06,19.9
Sri Lanka,0,100,92.3,21413250,341.955,34.1,10.069,11669.077,3.6,7.873054,80.771797,3.187,80.555,197.093,10.68,76.98,6.27,7,6.07,5.56,6.25,6.47,5.2
Mexico,0,100,92.2,128932753,66.444,29.3,6.857,17336.469,1.38,23.634501,-102.552784,2.981,82.41,152.783,13.06,75.05,6.09,7.83,6.07,7.22,3.13,6.18,28.9
Trinidad and Tobago,1,17,98.6,1399491,266.886,36.2,10.014,28763.071,3,10.691803,-61.222503,2.75,79.63,228.467,10.97,73.51,7.16,9.58,7.14,6.11,5.63,7.35,18.6
